id,Name,Height(m),Weight{kg},HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Type_1,Type_2,Is_Legendary,Is_Mythical,Egg_Group_1,Egg_Group_2,Generation,Capture_Rate,Base_Happiness,Is_Baby,Egg_Cycles,Past_Type,Is_Pseudo_Legendary,Total_Stats
215,Sneasel,0.9,28.0,55,95,55,35,75,115,Dark,Ice,False,False,Ground,,Gen-2,60,35,False,20,,False,430
216,Teddiursa,0.6,8.8,60,80,50,50,50,40,Normal,,False,False,Ground,,Gen-2,120,70,False,20,,False,330
217,Ursaring,1.8,125.8,90,130,75,75,75,55,Normal,,False,False,Ground,,Gen-2,60,70,False,20,,False,500
218,Slugma,0.7,35.0,40,40,40,70,40,20,Fire,,False,False,Indeterminate,,Gen-2,190,70,False,20,,False,250
219,Magcargo,0.8,55.0,60,50,120,90,80,30,Fire,Rock,False,False,Indeterminate,,Gen-2,75,70,False,20,,False,430
220,Swinub,0.4,6.5,50,50,40,30,30,50,Ice,Ground,False,False,Ground,,Gen-2,225,70,False,20,,False,250
221,Piloswine,1.1,55.8,100,100,80,60,60,50,Ice,Ground,False,False,Ground,,Gen-2,75,70,False,20,,False,450
222,Corsola,0.6,5.0,65,55,95,65,95,35,Water,Rock,False,False,Water1,Water3,Gen-2,60,70,False,20,,False,410
223,Remoraid,0.6,12.0,35,65,35,65,35,65,Water,,False,False,Water1,Water2,Gen-2,190,70,False,20,,False,300
224,Octillery,0.9,28.5,75,105,75,105,75,45,Water,,False,False,Water1,Water2,Gen-2,75,70,False,20,,False,480
225,Delibird,0.9,16.0,45,55,45,65,45,75,Ice,Flying,False,False,Water1,Ground,Gen-2,45,70,False,20,,False,330
226,Mantine,2.1,220.0,85,40,70,80,140,70,Water,Flying,False,False,Water1,,Gen-2,25,70,False,25,,False,485
227,Skarmory,1.7,50.5,65,80,140,40,70,70,Steel,Flying,False,False,Flying,,Gen-2,25,70,False,25,,False,465
228,Houndour,0.6,10.8,45,60,30,80,50,65,Dark,Fire,False,False,Ground,,Gen-2,120,35,False,20,,False,330
229,Houndoom,1.4,35.0,75,90,50,110,80,95,Dark,Fire,False,False,Ground,,Gen-2,45,35,False,20,,False,500
230,Kingdra,1.8,152.0,75,95,95,95,95,85,Water,Dragon,False,False,Water1,Dragon,Gen-2,45,70,False,20,,False,540
231,Phanpy,0.5,33.5,90,60,60,40,40,40,Ground,,False,False,Ground,,Gen-2,120,70,False,20,,False,330
232,Donphan,1.1,120.0,90,120,120,60,60,50,Ground,,False,False,Ground,,Gen-2,60,70,False,20,,False,500
233,Porygon2,0.6,32.5,85,80,90,105,95,60,Normal,,False,False,Mineral,,Gen-2,45,70,False,20,,False,515
234,Stantler,1.4,71.2,73,95,62,85,65,85,Normal,,False,False,Ground,,Gen-2,45,70,False,20,,False,465
235,Smeargle,1.2,58.0,55,20,35,20,45,75,Normal,,False,False,Ground,,Gen-2,45,70,False,20,,False,250
236,Tyrogue,0.7,21.0,35,35,35,35,35,35,Fighting,,False,False,No-eggs,,Gen-2,75,70,True,25,,False,210
237,Hitmontop,1.4,48.0,50,95,95,35,110,70,Fighting,,False,False,Humanshape,,Gen-2,45,70,False,25,,False,455
238,Smoochum,0.4,6.0,45,30,15,85,65,65,Ice,Psychic,False,False,No-eggs,,Gen-2,45,70,True,25,,False,305
239,Elekid,0.6,23.5,45,63,37,65,55,95,Electric,,False,False,No-eggs,,Gen-2,45,70,True,25,,False,360
240,Magby,0.7,21.4,45,75,37,70,55,83,Fire,,False,False,No-eggs,,Gen-2,45,70,True,25,,False,365
241,Miltank,1.2,75.5,95,80,105,40,70,100,Normal,,False,False,Ground,,Gen-2,45,70,False,20,,False,490
242,Blissey,1.5,46.8,255,10,10,75,135,55,Normal,,False,False,Fairy,,Gen-2,30,140,False,40,,False,540
243,Raikou,1.9,178.0,90,85,75,115,100,115,Electric,,True,False,No-eggs,,Gen-2,3,35,False,80,,False,580
244,Entei,2.1,198.0,115,115,85,90,75,100,Fire,,True,False,No-eggs,,Gen-2,3,35,False,80,,False,580
245,Suicune,2.0,187.0,100,75,115,90,115,85,Water,,True,False,No-eggs,,Gen-2,3,35,False,80,,False,580
246,Larvitar,0.6,72.0,50,64,50,45,50,41,Rock,Ground,False,False,Monster,,Gen-2,45,35,False,40,,False,300
247,Pupitar,1.2,152.0,70,84,70,65,70,51,Rock,Ground,False,False,Monster,,Gen-2,45,35,False,40,,False,410
248,Tyranitar,2.0,202.0,100,134,110,95,100,61,Rock,Dark,False,False,Monster,,Gen-2,45,35,False,40,,True,600
249,Lugia,5.2,216.0,106,90,130,90,154,110,Psychic,Flying,True,False,No-eggs,,Gen-2,3,0,False,120,,False,680
250,Ho-oh,3.8,199.0,106,130,90,110,154,90,Fire,Flying,True,False,No-eggs,,Gen-2,3,0,False,120,,False,680
251,Celebi,0.6,5.0,100,100,100,100,100,100,Psychic,Grass,False,True,No-eggs,,Gen-2,45,100,False,120,,True,600
252,Treecko,0.5,5.0,40,45,35,65,55,70,Grass,,False,False,Monster,Dragon,Gen-3,45,70,False,20,,False,310
253,Grovyle,0.9,21.6,50,65,45,85,65,95,Grass,,False,False,Monster,Dragon,Gen-3,45,70,False,20,,False,405
254,Sceptile,1.7,52.2,70,85,65,105,85,120,Grass,,False,False,Monster,Dragon,Gen-3,45,70,False,20,,False,530
255,Torchic,0.4,2.5,45,60,40,70,50,45,Fire,,False,False,Ground,,Gen-3,45,70,False,20,,False,310
256,Combusken,0.9,19.5,60,85,60,85,60,55,Fire,Fighting,False,False,Ground,,Gen-3,45,70,False,20,,False,405
257,Blaziken,1.9,52.0,80,120,70,110,70,80,Fire,Fighting,False,False,Ground,,Gen-3,45,70,False,20,,False,530
258,Mudkip,0.4,7.6,50,70,50,50,50,40,Water,,False,False,Monster,Water1,Gen-3,45,70,False,20,,False,310
259,Marshtomp,0.7,28.0,70,85,70,60,70,50,Water,Ground,False,False,Monster,Water1,Gen-3,45,70,False,20,,False,405
260,Swampert,1.5,81.9,100,110,90,85,90,60,Water,Ground,False,False,Monster,Water1,Gen-3,45,70,False,20,,False,535
261,Poochyena,0.5,13.6,35,55,35,30,30,35,Dark,,False,False,Ground,,Gen-3,255,70,False,15,,False,220
262,Mightyena,1.0,37.0,70,90,70,60,60,70,Dark,,False,False,Ground,,Gen-3,127,70,False,15,,False,420
263,Zigzagoon,0.4,17.5,38,30,41,30,41,60,Normal,,False,False,Ground,,Gen-3,255,70,False,15,,False,240
264,Linoone,0.5,32.5,78,70,61,50,61,100,Normal,,False,False,Ground,,Gen-3,90,70,False,15,,False,420
265,Wurmple,0.3,3.6,45,45,35,20,30,20,Bug,,False,False,Bug,,Gen-3,255,70,False,15,,False,195
266,Silcoon,0.6,10.0,50,35,55,25,25,15,Bug,,False,False,Bug,,Gen-3,120,70,False,15,,False,205
267,Beautifly,1.0,28.4,60,70,50,100,50,65,Bug,Flying,False,False,Bug,,Gen-3,45,70,False,15,,False,395
268,Cascoon,0.7,11.5,50,35,55,25,25,15,Bug,,False,False,Bug,,Gen-3,120,70,False,15,,False,205
269,Dustox,1.2,31.6,60,50,70,50,90,65,Bug,Poison,False,False,Bug,,Gen-3,45,70,False,15,,False,385
270,Lotad,0.5,2.6,40,30,30,40,50,30,Water,Grass,False,False,Water1,Plant,Gen-3,255,70,False,15,,False,220
271,Lombre,1.2,32.5,60,50,50,60,70,50,Water,Grass,False,False,Water1,Plant,Gen-3,120,70,False,15,,False,340
272,Ludicolo,1.5,55.0,80,70,70,90,100,70,Water,Grass,False,False,Water1,Plant,Gen-3,45,70,False,15,,False,480
273,Seedot,0.5,4.0,40,40,50,30,30,30,Grass,,False,False,Ground,Plant,Gen-3,255,70,False,15,,False,220
274,Nuzleaf,1.0,28.0,70,70,40,60,40,60,Grass,Dark,False,False,Ground,Plant,Gen-3,120,70,False,15,,False,340
275,Shiftry,1.3,59.6,90,100,60,90,60,80,Grass,Dark,False,False,Ground,Plant,Gen-3,45,70,False,15,,False,480
276,Taillow,0.3,2.3,40,55,30,30,30,85,Normal,Flying,False,False,Flying,,Gen-3,200,70,False,15,,False,270
277,Swellow,0.7,19.8,60,85,60,75,50,125,Normal,Flying,False,False,Flying,,Gen-3,45,70,False,15,,False,455
278,Wingull,0.6,9.5,40,30,30,55,30,85,Water,Flying,False,False,Water1,Flying,Gen-3,190,70,False,20,,False,270
279,Pelipper,1.2,28.0,60,50,100,95,70,65,Water,Flying,False,False,Water1,Flying,Gen-3,45,70,False,20,,False,440
280,Ralts,0.4,6.6,28,25,25,45,35,40,Psychic,Fairy,False,False,Humanshape,Indeterminate,Gen-3,235,35,False,20,Psychic,False,198
281,Kirlia,0.8,20.2,38,35,35,65,55,50,Psychic,Fairy,False,False,Humanshape,Indeterminate,Gen-3,120,35,False,20,Psychic,False,278
282,Gardevoir,1.6,48.4,68,65,65,125,115,80,Psychic,Fairy,False,False,Humanshape,Indeterminate,Gen-3,45,35,False,20,Psychic,False,518
283,Surskit,0.5,1.7,40,30,32,50,52,65,Bug,Water,False,False,Water1,Bug,Gen-3,200,70,False,15,,False,269
284,Masquerain,0.8,3.6,70,60,62,100,82,80,Bug,Flying,False,False,Water1,Bug,Gen-3,75,70,False,15,,False,454
285,Shroomish,0.4,4.5,60,40,60,40,60,35,Grass,,False,False,Fairy,Plant,Gen-3,255,70,False,15,,False,295
286,Breloom,1.2,39.2,60,130,80,60,60,70,Grass,Fighting,False,False,Fairy,Plant,Gen-3,90,70,False,15,,False,460
287,Slakoth,0.8,24.0,60,60,60,35,35,30,Normal,,False,False,Ground,,Gen-3,255,70,False,15,,False,280
288,Vigoroth,1.4,46.5,80,80,80,55,55,90,Normal,,False,False,Ground,,Gen-3,120,70,False,15,,False,440
289,Slaking,2.0,130.5,150,160,100,95,65,100,Normal,,False,False,Ground,,Gen-3,45,70,False,15,,False,670
290,Nincada,0.5,5.5,31,45,90,30,30,40,Bug,Ground,False,False,Bug,,Gen-3,255,70,False,15,,False,266
291,Ninjask,0.8,12.0,61,90,45,50,50,160,Bug,Flying,False,False,Bug,,Gen-3,120,70,False,15,,False,456
292,Shedinja,0.8,1.2,1,90,45,30,30,40,Bug,Ghost,False,False,Mineral,,Gen-3,45,70,False,15,,False,236
293,Whismur,0.6,16.3,64,51,23,51,23,28,Normal,,False,False,Monster,Ground,Gen-3,190,70,False,20,,False,240
294,Loudred,1.0,40.5,84,71,43,71,43,48,Normal,,False,False,Monster,Ground,Gen-3,120,70,False,20,,False,360
295,Exploud,1.5,84.0,104,91,63,91,73,68,Normal,,False,False,Monster,Ground,Gen-3,45,70,False,20,,False,490
296,Makuhita,1.0,86.4,72,60,30,20,30,25,Fighting,,False,False,Humanshape,,Gen-3,180,70,False,20,,False,237
297,Hariyama,2.3,253.8,144,120,60,40,60,50,Fighting,,False,False,Humanshape,,Gen-3,200,70,False,20,,False,474
298,Azurill,0.2,2.0,50,20,40,20,40,20,Normal,Fairy,False,False,No-eggs,,Gen-3,150,70,True,10,Normal,False,190
299,Nosepass,1.0,97.0,30,45,135,45,90,30,Rock,,False,False,Mineral,,Gen-3,255,70,False,20,,False,375
300,Skitty,0.6,11.0,50,45,45,35,35,50,Normal,,False,False,Ground,Fairy,Gen-3,255,70,False,15,,False,260
301,Delcatty,1.1,32.6,70,65,65,55,55,90,Normal,,False,False,Ground,Fairy,Gen-3,60,70,False,15,,False,400
302,Sableye,0.5,11.0,50,75,75,65,65,50,Dark,Ghost,False,False,Humanshape,,Gen-3,45,35,False,25,,False,380
303,Mawile,0.6,11.5,50,85,85,55,55,50,Steel,Fairy,False,False,Ground,Fairy,Gen-3,45,70,False,20,Steel,False,380
304,Aron,0.4,60.0,50,70,100,40,40,30,Steel,Rock,False,False,Monster,,Gen-3,180,35,False,35,,False,330
305,Lairon,0.9,120.0,60,90,140,50,50,40,Steel,Rock,False,False,Monster,,Gen-3,90,35,False,35,,False,430
306,Aggron,2.1,360.0,70,110,180,60,60,50,Steel,Rock,False,False,Monster,,Gen-3,45,35,False,35,,False,530
307,Meditite,0.6,11.2,30,40,55,40,55,60,Fighting,Psychic,False,False,Humanshape,,Gen-3,180,70,False,20,,False,280
308,Medicham,1.3,31.5,60,60,75,60,75,80,Fighting,Psychic,False,False,Humanshape,,Gen-3,90,70,False,20,,False,410
309,Electrike,0.6,15.2,40,45,40,65,40,65,Electric,,False,False,Ground,,Gen-3,120,70,False,20,,False,295
310,Manectric,1.5,40.2,70,75,60,105,60,105,Electric,,False,False,Ground,,Gen-3,45,70,False,20,,False,475
311,Plusle,0.4,4.2,60,50,40,85,75,95,Electric,,False,False,Fairy,,Gen-3,200,70,False,20,,False,405
312,Minun,0.4,4.2,60,40,50,75,85,95,Electric,,False,False,Fairy,,Gen-3,200,70,False,20,,False,405
313,Volbeat,0.7,17.7,65,73,75,47,85,85,Bug,,False,False,Bug,Humanshape,Gen-3,150,70,False,15,,False,430
314,Illumise,0.6,17.7,65,47,75,73,85,85,Bug,,False,False,Bug,Humanshape,Gen-3,150,70,False,15,,False,430
315,Roselia,0.3,2.0,50,60,45,100,80,65,Grass,Poison,False,False,Fairy,Plant,Gen-3,150,70,False,20,,False,400
316,Gulpin,0.4,10.3,70,43,53,43,53,40,Poison,,False,False,Indeterminate,,Gen-3,225,70,False,20,,False,302
317,Swalot,1.7,80.0,100,73,83,73,83,55,Poison,,False,False,Indeterminate,,Gen-3,75,70,False,20,,False,467
318,Carvanha,0.8,20.8,45,90,20,65,20,65,Water,Dark,False,False,Water2,,Gen-3,225,35,False,20,,False,305
319,Sharpedo,1.8,88.8,70,120,40,95,40,95,Water,Dark,False,False,Water2,,Gen-3,60,35,False,20,,False,460
320,Wailmer,2.0,130.0,130,70,35,70,35,60,Water,,False,False,Ground,Water2,Gen-3,125,70,False,40,,False,400
321,Wailord,14.5,398.0,170,90,45,90,45,60,Water,,False,False,Ground,Water2,Gen-3,60,70,False,40,,False,500
322,Numel,0.7,24.0,60,60,40,65,45,35,Fire,Ground,False,False,Ground,,Gen-3,255,70,False,20,,False,305
323,Camerupt,1.9,220.0,70,100,70,105,75,40,Fire,Ground,False,False,Ground,,Gen-3,150,70,False,20,,False,460
324,Torkoal,0.5,80.4,70,85,140,85,70,20,Fire,,False,False,Ground,,Gen-3,90,70,False,20,,False,470
325,Spoink,0.7,30.6,60,25,35,70,80,60,Psychic,,False,False,Ground,,Gen-3,255,70,False,20,,False,330
326,Grumpig,0.9,71.5,80,45,65,90,110,80,Psychic,,False,False,Ground,,Gen-3,60,70,False,20,,False,470
327,Spinda,1.1,5.0,60,60,60,60,60,60,Normal,,False,False,Ground,Humanshape,Gen-3,255,70,False,15,,False,360
328,Trapinch,0.7,15.0,45,100,45,45,45,10,Ground,,False,False,Bug,Dragon,Gen-3,255,70,False,20,,False,290
329,Vibrava,1.1,15.3,50,70,50,50,50,70,Ground,Dragon,False,False,Bug,Dragon,Gen-3,120,70,False,20,,False,340
330,Flygon,2.0,82.0,80,100,80,80,80,100,Ground,Dragon,False,False,Bug,Dragon,Gen-3,45,70,False,20,,False,520
331,Cacnea,0.4,51.3,50,85,40,85,40,35,Grass,,False,False,Plant,Humanshape,Gen-3,190,35,False,20,,False,335
332,Cacturne,1.3,77.4,70,115,60,115,60,55,Grass,Dark,False,False,Plant,Humanshape,Gen-3,60,35,False,20,,False,475
333,Swablu,0.4,1.2,45,40,60,40,75,50,Normal,Flying,False,False,Flying,Dragon,Gen-3,255,70,False,20,,False,310
334,Altaria,1.1,20.6,75,70,90,70,105,80,Dragon,Flying,False,False,Flying,Dragon,Gen-3,45,70,False,20,,False,490
335,Zangoose,1.3,40.3,73,115,60,60,60,90,Normal,,False,False,Ground,,Gen-3,90,70,False,20,,False,458
336,Seviper,2.7,52.5,73,100,60,100,60,65,Poison,,False,False,Ground,Dragon,Gen-3,90,70,False,20,,False,458
337,Lunatone,1.0,168.0,90,55,65,95,85,70,Rock,Psychic,False,False,Mineral,,Gen-3,45,70,False,25,,False,460
338,Solrock,1.2,154.0,90,95,85,55,65,70,Rock,Psychic,False,False,Mineral,,Gen-3,45,70,False,25,,False,460
339,Barboach,0.4,1.9,50,48,43,46,41,60,Water,Ground,False,False,Water2,,Gen-3,190,70,False,20,,False,288
340,Whiscash,0.9,23.6,110,78,73,76,71,60,Water,Ground,False,False,Water2,,Gen-3,75,70,False,20,,False,468
341,Corphish,0.6,11.5,43,80,65,50,35,35,Water,,False,False,Water1,Water3,Gen-3,205,70,False,15,,False,308
342,Crawdaunt,1.1,32.8,63,120,85,90,55,55,Water,Dark,False,False,Water1,Water3,Gen-3,155,70,False,15,,False,468
343,Baltoy,0.5,21.5,40,40,55,40,70,55,Ground,Psychic,False,False,Mineral,,Gen-3,255,70,False,20,,False,300
344,Claydol,1.5,108.0,60,70,105,70,120,75,Ground,Psychic,False,False,Mineral,,Gen-3,90,70,False,20,,False,500
345,Lileep,1.0,23.8,66,41,77,61,87,23,Rock,Grass,False,False,Water3,,Gen-3,45,70,False,30,,False,355
346,Cradily,1.5,60.4,86,81,97,81,107,43,Rock,Grass,False,False,Water3,,Gen-3,45,70,False,30,,False,495
347,Anorith,0.7,12.5,45,95,50,40,50,75,Rock,Bug,False,False,Water3,,Gen-3,45,70,False,30,,False,355
348,Armaldo,1.5,68.2,75,125,100,70,80,45,Rock,Bug,False,False,Water3,,Gen-3,45,70,False,30,,False,495
349,Feebas,0.6,7.4,20,15,20,10,55,80,Water,,False,False,Water1,Dragon,Gen-3,255,70,False,20,,False,200
350,Milotic,6.2,162.0,95,60,79,100,125,81,Water,,False,False,Water1,Dragon,Gen-3,60,70,False,20,,False,540
351,Castform,0.3,0.8,70,70,70,70,70,70,Normal,,False,False,Fairy,Indeterminate,Gen-3,45,70,False,25,,False,420
352,Kecleon,1.0,22.0,60,90,70,60,120,40,Normal,,False,False,Ground,,Gen-3,200,70,False,20,,False,440
353,Shuppet,0.6,2.3,44,75,35,63,33,45,Ghost,,False,False,Indeterminate,,Gen-3,225,35,False,25,,False,295
354,Banette,1.1,12.5,64,115,65,83,63,65,Ghost,,False,False,Indeterminate,,Gen-3,45,35,False,25,,False,455
355,Duskull,0.8,15.0,20,40,90,30,90,25,Ghost,,False,False,Indeterminate,,Gen-3,190,35,False,25,,False,295
356,Dusclops,1.6,30.6,40,70,130,60,130,25,Ghost,,False,False,Indeterminate,,Gen-3,90,35,False,25,,False,455
357,Tropius,2.0,100.0,99,68,83,72,87,51,Grass,Flying,False,False,Monster,Plant,Gen-3,200,70,False,25,,False,460
358,Chimecho,0.6,1.0,75,50,80,95,90,65,Psychic,,False,False,Indeterminate,,Gen-3,45,70,False,25,,False,455
359,Absol,1.2,47.0,65,130,60,75,60,75,Dark,,False,False,Ground,,Gen-3,30,35,False,25,,False,465
360,Wynaut,0.6,14.0,95,23,48,23,48,23,Psychic,,False,False,No-eggs,,Gen-3,125,70,True,20,,False,260
361,Snorunt,0.7,16.8,50,50,50,50,50,50,Ice,,False,False,Fairy,Mineral,Gen-3,190,70,False,20,,False,300
362,Glalie,1.5,256.5,80,80,80,80,80,80,Ice,,False,False,Fairy,Mineral,Gen-3,75,70,False,20,,False,480
363,Spheal,0.8,39.5,70,40,50,55,50,25,Ice,Water,False,False,Water1,Ground,Gen-3,255,70,False,20,,False,290
364,Sealeo,1.1,87.6,90,60,70,75,70,45,Ice,Water,False,False,Water1,Ground,Gen-3,120,70,False,20,,False,410
365,Walrein,1.4,150.6,110,80,90,95,90,65,Ice,Water,False,False,Water1,Ground,Gen-3,45,70,False,20,,False,530
366,Clamperl,0.4,52.5,35,64,85,74,55,32,Water,,False,False,Water1,,Gen-3,255,70,False,20,,False,345
367,Huntail,1.7,27.0,55,104,105,94,75,52,Water,,False,False,Water1,,Gen-3,60,70,False,20,,False,485
368,Gorebyss,1.8,22.6,55,84,105,114,75,52,Water,,False,False,Water1,,Gen-3,60,70,False,20,,False,485
369,Relicanth,1.0,23.4,100,90,130,45,65,55,Water,Rock,False,False,Water1,Water2,Gen-3,25,70,False,40,,False,485
370,Luvdisc,0.6,8.7,43,30,55,40,65,97,Water,,False,False,Water2,,Gen-3,225,70,False,20,,False,330
371,Bagon,0.6,42.1,45,75,60,40,30,50,Dragon,,False,False,Dragon,,Gen-3,45,35,False,40,,False,300
372,Shelgon,1.1,110.5,65,95,100,60,50,50,Dragon,,False,False,Dragon,,Gen-3,45,35,False,40,,False,420
373,Salamence,1.5,102.6,95,135,80,110,80,100,Dragon,Flying,False,False,Dragon,,Gen-3,45,35,False,40,,True,600
374,Beldum,0.6,95.2,40,55,80,35,60,30,Steel,Psychic,False,False,Mineral,,Gen-3,3,35,False,40,,False,300
375,Metang,1.2,202.5,60,75,100,55,80,50,Steel,Psychic,False,False,Mineral,,Gen-3,3,35,False,40,,False,420
376,Metagross,1.6,550.0,80,135,130,95,90,70,Steel,Psychic,False,False,Mineral,,Gen-3,3,35,False,40,,True,600
377,Regirock,1.7,230.0,80,100,200,50,100,50,Rock,,True,False,No-eggs,,Gen-3,3,35,False,80,,False,580
378,Regice,1.8,175.0,80,50,100,100,200,50,Ice,,True,False,No-eggs,,Gen-3,3,35,False,80,,False,580
379,Registeel,1.9,205.0,80,75,150,75,150,50,Steel,,True,False,No-eggs,,Gen-3,3,35,False,80,,False,580
380,Latias,1.4,40.0,80,80,90,110,130,110,Dragon,Psychic,True,False,No-eggs,,Gen-3,3,90,False,120,,True,600
381,Latios,2.0,60.0,80,90,80,130,110,110,Dragon,Psychic,True,False,No-eggs,,Gen-3,3,90,False,120,,True,600
382,Kyogre,4.5,352.0,100,100,90,150,140,90,Water,,True,False,No-eggs,,Gen-3,3,0,False,120,,False,670
383,Groudon,3.5,950.0,100,150,140,100,90,90,Ground,,True,False,No-eggs,,Gen-3,3,0,False,120,,False,670
384,Rayquaza,7.0,206.5,105,150,90,150,90,95,Dragon,Flying,True,False,No-eggs,,Gen-3,45,0,False,120,,False,680
385,Jirachi,0.3,1.1,100,100,100,100,100,100,Steel,Psychic,False,True,No-eggs,,Gen-3,3,100,False,120,,True,600
386,Deoxys-normal,1.7,60.8,50,150,50,150,50,150,Psychic,,False,True,No-eggs,,Gen-3,3,0,False,120,,True,600
387,Turtwig,0.4,10.2,55,68,64,45,55,31,Grass,,False,False,Monster,Plant,Gen-4,45,70,False,20,,False,318
388,Grotle,1.1,97.0,75,89,85,55,65,36,Grass,,False,False,Monster,Plant,Gen-4,45,70,False,20,,False,405
389,Torterra,2.2,310.0,95,109,105,75,85,56,Grass,Ground,False,False,Monster,Plant,Gen-4,45,70,False,20,,False,525
390,Chimchar,0.5,6.2,44,58,44,58,44,61,Fire,,False,False,Ground,Humanshape,Gen-4,45,70,False,20,,False,309
391,Monferno,0.9,22.0,64,78,52,78,52,81,Fire,Fighting,False,False,Ground,Humanshape,Gen-4,45,70,False,20,,False,405
392,Infernape,1.2,55.0,76,104,71,104,71,108,Fire,Fighting,False,False,Ground,Humanshape,Gen-4,45,70,False,20,,False,534
393,Piplup,0.4,5.2,53,51,53,61,56,40,Water,,False,False,Water1,Ground,Gen-4,45,70,False,20,,False,314
394,Prinplup,0.8,23.0,64,66,68,81,76,50,Water,,False,False,Water1,Ground,Gen-4,45,70,False,20,,False,405
395,Empoleon,1.7,84.5,84,86,88,111,101,60,Water,Steel,False,False,Water1,Ground,Gen-4,45,70,False,20,,False,530
396,Starly,0.3,2.0,40,55,30,30,30,60,Normal,Flying,False,False,Flying,,Gen-4,255,70,False,15,,False,245
397,Staravia,0.6,15.5,55,75,50,40,40,80,Normal,Flying,False,False,Flying,,Gen-4,120,70,False,15,,False,340
398,Staraptor,1.2,24.9,85,120,70,50,60,100,Normal,Flying,False,False,Flying,,Gen-4,45,70,False,15,,False,485
399,Bidoof,0.5,20.0,59,45,40,35,40,31,Normal,,False,False,Water1,Ground,Gen-4,255,70,False,15,,False,250
400,Bibarel,1.0,31.5,79,85,60,55,60,71,Normal,Water,False,False,Water1,Ground,Gen-4,127,70,False,15,,False,410
401,Kricketot,0.3,2.2,37,25,41,25,41,25,Bug,,False,False,Bug,,Gen-4,255,70,False,15,,False,194
402,Kricketune,1.0,25.5,77,85,51,55,51,65,Bug,,False,False,Bug,,Gen-4,45,70,False,15,,False,384
403,Shinx,0.5,9.5,45,65,34,40,34,45,Electric,,False,False,Ground,,Gen-4,235,70,False,20,,False,263
404,Luxio,0.9,30.5,60,85,49,60,49,60,Electric,,False,False,Ground,,Gen-4,120,100,False,20,,False,363
405,Luxray,1.4,42.0,80,120,79,95,79,70,Electric,,False,False,Ground,,Gen-4,45,70,False,20,,False,523
406,Budew,0.2,1.2,40,30,35,50,70,55,Grass,Poison,False,False,No-eggs,,Gen-4,255,70,True,20,,False,280
407,Roserade,0.9,14.5,60,70,65,125,105,90,Grass,Poison,False,False,Fairy,Plant,Gen-4,75,70,False,20,,False,515
408,Cranidos,0.9,31.5,67,125,40,30,30,58,Rock,,False,False,Monster,,Gen-4,45,70,False,30,,False,350
409,Rampardos,1.6,102.5,97,165,60,65,50,58,Rock,,False,False,Monster,,Gen-4,45,70,False,30,,False,495
410,Shieldon,0.5,57.0,30,42,118,42,88,30,Rock,Steel,False,False,Monster,,Gen-4,45,70,False,30,,False,350
411,Bastiodon,1.3,149.5,60,52,168,47,138,30,Rock,Steel,False,False,Monster,,Gen-4,45,70,False,30,,False,495
412,Burmy,0.2,3.4,40,29,45,29,45,36,Bug,,False,False,Bug,,Gen-4,120,70,False,15,,False,224
413,Wormadam-plant,0.5,6.5,60,59,85,79,105,36,Bug,Grass,False,False,Bug,,Gen-4,45,70,False,15,,False,424
414,Mothim,0.9,23.3,70,94,50,94,50,66,Bug,Flying,False,False,Bug,,Gen-4,45,70,False,15,,False,424
415,Combee,0.3,5.5,30,30,42,30,42,70,Bug,Flying,False,False,Bug,,Gen-4,120,70,False,15,,False,244
416,Vespiquen,1.2,38.5,70,80,102,80,102,40,Bug,Flying,False,False,Bug,,Gen-4,45,70,False,15,,False,474
417,Pachirisu,0.4,3.9,60,45,70,45,90,95,Electric,,False,False,Ground,Fairy,Gen-4,200,100,False,10,,False,405
418,Buizel,0.7,29.5,55,65,35,60,30,85,Water,,False,False,Water1,Ground,Gen-4,190,70,False,20,,False,330
419,Floatzel,1.1,33.5,85,105,55,85,50,115,Water,,False,False,Water1,Ground,Gen-4,75,70,False,20,,False,495
420,Cherubi,0.4,3.3,45,35,45,62,53,35,Grass,,False,False,Fairy,Plant,Gen-4,190,70,False,20,,False,275
421,Cherrim,0.5,9.3,70,60,70,87,78,85,Grass,,False,False,Fairy,Plant,Gen-4,75,70,False,20,,False,450
422,Shellos,0.3,6.3,76,48,48,57,62,34,Water,,False,False,Water1,Indeterminate,Gen-4,190,70,False,20,,False,325
423,Gastrodon,0.9,29.9,111,83,68,92,82,39,Water,Ground,False,False,Water1,Indeterminate,Gen-4,75,70,False,20,,False,475
424,Ambipom,1.2,20.3,75,100,66,60,66,115,Normal,,False,False,Ground,,Gen-4,45,100,False,20,,False,482
425,Drifloon,0.4,1.2,90,50,34,60,44,70,Ghost,Flying,False,False,Indeterminate,,Gen-4,125,70,False,30,,False,348
426,Drifblim,1.2,15.0,150,80,44,90,54,80,Ghost,Flying,False,False,Indeterminate,,Gen-4,60,70,False,30,,False,498
427,Buneary,0.4,5.5,55,66,44,44,56,85,Normal,,False,False,Ground,Humanshape,Gen-4,190,0,False,20,,False,350
428,Lopunny,1.2,33.3,65,76,84,54,96,105,Normal,,False,False,Ground,Humanshape,Gen-4,60,140,False,20,,False,480
429,Mismagius,0.9,4.4,60,60,60,105,105,105,Ghost,,False,False,Indeterminate,,Gen-4,45,35,False,25,,False,495
430,Honchkrow,0.9,27.3,100,125,52,105,52,71,Dark,Flying,False,False,Flying,,Gen-4,30,35,False,20,,False,505
